year,month,Fruits,Seeds,Flowers,Vegetation,diet_percent_carb,diet_percent_lipids,diet_percent_prot
2003,July,0,0,0,100,2.447,0.3463,1.9374
2003,Aug,35,35,0,30,5.3835,2.46079,4.7282475
2003,Sep,33,33,0,34,5.2157,2.339962,4.5687705
2003,Oct,42,42,0,16,5.9708,2.883688,5.286417
2003,Nov,10,10,0,80,3.286,0.95044,2.734785
2003,Dec,6,6,0,88,2.9504,0.708784,2.415831
2004,Jan,5,5,0,90,2.8665,0.64837,2.3360925
2004,Mar,0,0,10,90,4.3573,0.31167,1.7440479
2004,Apr,0,0,0,100,2.447,0.3463,1.9374
2004,May,0,0,0,100,2.447,0.3463,1.9374
2004,June,0,0,0,100,2.447,0.3463,1.9374
2004,July,0,0,3,97,3.02009,0.335911,1.87939437
2004,Aug,1,1,0,98,2.5309,0.406714,2.0171385
2004,Sep,4,4,0,92,2.7826,0.587956,2.256354
